NAME,PER,A,R,FIRSTREF,FIRSTURL,COMP,STAR
Kepler-53 c,38.5583038,0.221868,3.1671647594111096,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,c,Kepler-53
KOI 3943.01,38.57642,0.240071,2.7810000000095965,,,01,KOI 3943
KOI 318.01,38.58336,0.247,5.1900000000179105,,,01,KOI 318
KOI 191.04,38.65154,0.218,2.300000000007937,,,04,KOI 191
KOI 2144.01,38.66952,0.217,4.320000000014908,,,01,KOI 2144
KOI 1832.03,38.71585,0.218,2.800000000009662,,,03,KOI 1832
KOI 1426.01,38.87303,0.23,3.200000000011043,,,01,KOI 1426
Kepler-9 c,38.90861,0.22473,9.224991141562533,Holman 2010,http://adsabs.harvard.edu/abs/2010Sci...330...51H,c,Kepler-9
KOI 344.01,39.30924,0.226,3.800000000013113,,,01,KOI 344
KOI 2056.01,39.31435,0.231,2.560000000008834,,,01,KOI 2056
KOI 3147.01,39.4411,0.224,1.1700000000040374,,,01,KOI 3147
KOI 1955.02,39.45988,0.241,2.080000000007178,,,02,KOI 1955
KOI 924.01,39.47585,0.235,3.9000000000134576,,,01,KOI 924
KOI 509.03,39.59492,0.222,1.9400000000066944,,,03,KOI 509
KOI 918.01,39.643231,0.218,10.100000000034854,,,01,KOI 918
KOI 577.01,39.67866,0.227,3.3300000000114913,,,01,KOI 577
KOI 856.01,39.748877,0.234,15.000000000051761,,,01,KOI 856
KOI 592.01,39.75062,0.231,3.000000000010352,,,01,KOI 592
KOI 2554.01,39.75719,0.198,2.24000000000773,,,01,KOI 2554
Kepler-37 d,39.792187,0.21202,1.9951985701070851,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,d,Kepler-37
KOI 3403.01,39.81811,0.229895,1.6000000000055214,,,01,KOI 3403
KOI 2538.01,39.83101,0.213,3.3000000000113876,,,01,KOI 2538
KOI 3146.01,39.8576,0.226,1.4100000000048654,,,01,KOI 3146
KOI 2379.01,40.00728,0.238,2.5000000000086273,,,01,KOI 2379
KOI 2582.01,40.03252,0.233,1.93000000000666,,,01,KOI 2582
KOI 1273.01,40.05488,0.224,3.5000000000120775,,,01,KOI 1273
KOI 1517.01,40.06841,0.232,3.200000000011043,,,01,KOI 1517
KOI 1336.03,40.10101,0.232,2.7000000000093176,,,03,KOI 1336
KOI 1595.01,40.10999,0.231,3.000000000010352,,,01,KOI 1595
KOI 3258.01,40.35156,0.225456,2.300000000007937,,,01,KOI 3258
KOI 777.01,40.41943,0.219,8.10000000002795,,,01,KOI 777
KOI 1506.01,40.42805,0.23,3.1000000000106973,,,01,KOI 1506
KOI 2830.01,40.52998,0.238,1.830000000006315,,,01,KOI 2830
KOI 504.01,40.60709,0.225,2.2100000000076263,,,01,KOI 504
KOI 629.01,40.69944,0.249,3.1000000000106973,,,01,KOI 629
KOI 1435.01,40.71524,0.234,2.2600000000077984,,,01,KOI 1435
KOI 945.02,40.71652,0.242,3.000000000010352,,,02,KOI 945
KOI 1001.01,40.80686,0.258,4.800000000016564,,,01,KOI 1001
KOI 1878.01,40.80953,0.24,3.200000000011043,,,01,KOI 1878
KOI 2556.01,40.8364,0.229,1.3700000000047277,,,01,KOI 2556
KOI 2524.01,40.989,0.244,1.8900000000065218,,,01,KOI 2524
KOI 223.02,41.00812,0.221,2.560000000008834,,,02,KOI 223
Kepler-33 f,41.02902,0.253499,4.456018199777363,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,f,Kepler-33
KOI 757.02,41.19274,0.216,3.3000000000113876,,,02,KOI 757
KOI 855.01,41.4083,0.228,12.200000000042099,,,01,KOI 855
KOI 764.01,41.43954,0.218,4.700000000016218,,,01,KOI 764
KOI 2140.01,41.6981,0.232,2.53000000000873,,,01,KOI 2140
KOI 1609.01,41.69831,0.245,2.400000000008282,,,01,KOI 1609
KOI 3439.01,41.70943,0.248907,2.0000000000069016,,,01,KOI 3439
KOI 276.01,41.74591,0.242,2.5000000000086273,,,01,KOI 276
KOI 672.02,41.74999,0.23,4.030000000013907,,,02,KOI 672
