NAME,PER,A,R,FIRSTREF,FIRSTURL,COMP,STAR
XO-5 b,4.1877537,0.0508651,11.54525015286684,Burke 2008,http://adsabs.harvard.edu/abs/2008ApJ...686.1331B,b,XO-5
61 Vir b,4.215,0.05006,,Vogt 2010,http://adsabs.harvard.edu/abs/2010ApJ...708.1366V,b,61 Vir
51 Peg b,4.230785,0.0521068,,Mayor 1995,http://adsabs.harvard.edu/abs/1995Natur.378..355M,b,51 Peg
HAT-P-26 b,4.234516,0.0478684,6.333074112980354,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...728..138H,b,HAT-P-26
CoRoT-3 b,4.2568,0.0573788,11.321070538248067,Deleuil 2008,http://adsabs.harvard.edu/abs/2008A%26A...491..889D,b,CoRoT-3
WASP-60 b,4.3050011,0.0531041,9.639723428607265,Hebrard 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A.134H,b,WASP-60
HD 40307 b,4.3115,0.0468927,,Mayor 2009,http://adsabs.harvard.edu/abs/2009A%26A...493..639M,b,HD 40307
WASP-34 b,4.3176782,0.0520747,13.67495649174519,Smalley 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.130S,b,WASP-34
WASP-21 b,4.322482,0.0521087,11.993609382104388,Bouchy 2010,http://adsabs.harvard.edu/abs/2010A&A...519A..98B,b,WASP-21
WASP-13 b,4.353011,0.0537035,15.569274235273827,Skillen 2009,http://adsabs.harvard.edu/abs/2009A%26A...502..391S,b,WASP-13
WASP-63 b,4.37808,0.0574592,16.02884244524231,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H,b,WASP-63
WASP-62 b,4.411953,0.0567187,15.580483216004765,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H,b,WASP-62
Pr 201 b,4.4264,0.0565986,,Quinn 2012,http://adsabs.harvard.edu/abs/2012ApJ...756L..33Q,b,Pr 201
Kepler-12 b,4.4379637,0.0556348,18.999222338941063,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,b,Kepler-12
HAT-P-40 b,4.457243,0.060845,19.391536664523915,Hartman 2012,http://adsabs.harvard.edu/abs/2012AJ....144..139H,b,HAT-P-40
HAT-P-1 b,4.4652934,0.0553326,13.921554067825841,Bakos 2007,http://adsabs.harvard.edu/abs/2007ApJ...656..552B,b,HAT-P-1
WASP-55 b,4.465633,0.0532575,14.571674950220284,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H,b,WASP-55
WASP-67 b,4.61442,0.0517914,15.692573023314152,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H,b,WASP-67
WASP-56 b,4.617101,0.056145,12.240206958185041,Faedi 2013,http://adsabs.harvard.edu/abs/2013A%26A...551A..73F,b,WASP-56
upsilon And b,4.6171363,0.0593858,,Butler 1997,http://adsabs.harvard.edu/abs/1997ApJ...474L.115B,b,upsilon And
HAT-P-14 b,4.627669,0.0606258,12.89032784057948,Torres 2010,http://adsabs.harvard.edu/abs/2010ApJ...715..458T,b,HAT-P-14
HAT-P-38 b,4.640382,0.0522992,9.247409103024411,Sato 2012,http://adsabs.harvard.edu/abs/2012PASJ...64...97S,b,HAT-P-38
